clip_id,file,scene,duration_sec
00605,00605_rgb-4_c0065.mp4,B,7.0
00608,00608_rgb-4_c0068.mp4,B,7.4
00687,00687_rgb-5_c0063.mp4,B,5.8
00836,00836_rgb-6_c0121.mp4,B,7.0
00010,00010_Hospital construction site_c0009.mp4,A,5.08
00636,00636_rgb-5_c0012.mp4,B,5.6
00816,00816_rgb-6_c0101.mp4,B,7.4
01121,01121_rgb-7_c0260.mp4,B,7.4
00442,00442_rgb-3_c0067.mp4,B,8.0
00840,00840_rgb-6_c0125.mp4,B,6.0
00295,00295_Hospital construction site_c0294.mp4,A,7.24
00663,00663_rgb-5_c0039.mp4,B,5.4
00445,00445_rgb-3_c0070.mp4,B,7.6
00222,00222_Hospital construction site_c0221.mp4,A,6.72
00317,00317_Hospital construction site_c0316.mp4,A,4.96
00719,00719_rgb-6_c0004.mp4,B,5.8
00110,00110_Hospital construction site_c0109.mp4,A,7.88
00226,00226_Hospital construction site_c0225.mp4,A,6.76
00071,00071_Hospital construction site_c0070.mp4,A,5.64
00699,00699_rgb-5_c0075.mp4,B,6.6
00121,00121_Hospital construction site_c0120.mp4,A,7.28
00996,00996_rgb-7_c0135.mp4,B,6.4
00272,00272_Hospital construction site_c0271.mp4,A,5.88
00884,00884_rgb-7_c0023.mp4,B,7.0
01090,01090_rgb-7_c0229.mp4,B,5.2
00242,00242_Hospital construction site_c0241.mp4,A,6.76
00019,00019_Hospital construction site_c0018.mp4,A,7.44
00079,00079_Hospital construction site_c0078.mp4,A,5.8
00761,00761_rgb-6_c0046.mp4,B,6.8
00451,00451_rgb-3_c0076.mp4,B,7.6
00542,00542_rgb-4_c0002.mp4,B,7.8
00012,00012_Hospital construction site_c0011.mp4,A,6.52
00592,00592_rgb-4_c0052.mp4,B,5.6
00964,00964_rgb-7_c0103.mp4,B,5.8
00064,00064_Hospital construction site_c0063.mp4,A,7.04
00553,00553_rgb-4_c0013.mp4,B,5.4
00374,00374_rgb-2_c0026.mp4,B,1.8
00764,00764_rgb-6_c0049.mp4,B,6.6
00925,00925_rgb-7_c0064.mp4,B,6.4
00398,00398_rgb-3_c0023.mp4,B,6.8
00757,00757_rgb-6_c0042.mp4,B,6.2
00660,00660_rgb-5_c0036.mp4,B,6.6
00798,00798_rgb-6_c0083.mp4,B,6.6
00208,00208_Hospital construction site_c0207.mp4,A,5.16
00253,00253_Hospital construction site_c0252.mp4,A,5.2
00033,00033_Hospital construction site_c0032.mp4,A,6.6
00536,00536_rgb-3_c0161.mp4,B,7.4
00485,00485_rgb-3_c0110.mp4,B,7.6
00934,00934_rgb-7_c0073.mp4,B,8.0
00675,00675_rgb-5_c0051.mp4,B,6.8
00782,00782_rgb-6_c0067.mp4,B,7.2
00415,00415_rgb-3_c0040.mp4,B,5.6
00379,00379_rgb-3_c0004.mp4,B,6.0
00688,00688_rgb-5_c0064.mp4,B,5.6
00437,00437_rgb-3_c0062.mp4,B,5.8
00909,00909_rgb-7_c0048.mp4,B,6.4
00011,00011_Hospital construction site_c0010.mp4,A,5.64
00838,00838_rgb-6_c0123.mp4,B,6.4
00804,00804_rgb-6_c0089.mp4,B,6.4
00428,00428_rgb-3_c0053.mp4,B,5.0
00260,00260_Hospital construction site_c0259.mp4,A,7.8
00882,00882_rgb-7_c0021.mp4,B,7.4
00280,00280_Hospital construction site_c0279.mp4,A,6.8
01049,01049_rgb-7_c0188.mp4,B,7.4
00786,00786_rgb-6_c0071.mp4,B,8.0
00929,00929_rgb-7_c0068.mp4,B,5.8
00839,00839_rgb-6_c0124.mp4,B,8.0
00323,00323_rgb-1_c0005.mp4,B,7.4
01084,01084_rgb-7_c0223.mp4,B,5.2
00865,00865_rgb-7_c0004.mp4,B,5.8
00054,00054_Hospital construction site_c0053.mp4,A,7.8
00590,00590_rgb-4_c0050.mp4,B,5.0
01105,01105_rgb-7_c0244.mp4,B,7.2
00775,00775_rgb-6_c0060.mp4,B,5.2
00435,00435_rgb-3_c0060.mp4,B,6.6
00692,00692_rgb-5_c0068.mp4,B,7.0
00368,00368_rgb-2_c0020.mp4,B,7.2
00041,00041_Hospital construction site_c0040.mp4,A,7.12
00609,00609_rgb-4_c0069.mp4,B,5.2
00665,00665_rgb-5_c0041.mp4,B,6.8
00186,00186_Hospital construction site_c0185.mp4,A,6.0
00963,00963_rgb-7_c0102.mp4,B,5.4
00083,00083_Hospital construction site_c0082.mp4,A,6.76
00156,00156_Hospital construction site_c0155.mp4,A,5.68
00100,00100_Hospital construction site_c0099.mp4,A,7.6
00204,00204_Hospital construction site_c0203.mp4,A,5.48
00455,00455_rgb-3_c0080.mp4,B,5.8
00489,00489_rgb-3_c0114.mp4,B,6.6
00035,00035_Hospital construction site_c0034.mp4,A,6.12
01041,01041_rgb-7_c0180.mp4,B,7.2
00792,00792_rgb-6_c0077.mp4,B,7.6
01024,01024_rgb-7_c0163.mp4,B,7.8
01152,01152_rgb-7_c0291.mp4,B,5.8
00427,00427_rgb-3_c0052.mp4,B,7.0
00759,00759_rgb-6_c0044.mp4,B,6.0
00702,00702_rgb-5_c0078.mp4,B,7.4
01079,01079_rgb-7_c0218.mp4,B,6.4
00940,00940_rgb-7_c0079.mp4,B,6.4
00990,00990_rgb-7_c0129.mp4,B,5.2
00919,00919_rgb-7_c0058.mp4,B,7.0
